year,tmID,confID,rank,playoff,firstRound,semis,finals,o_fga,o_fta,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fga,d_fta,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL
9,ATL,EA,7,N,,,,2258,725,598,1077,492,796,285,593,142,2534,2254,918,502,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18
10,ATL,EA,2,Y,L,,,2428,755,374,1259,547,741,329,590,121,2861,2363,807,530,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12
1,CHA,EA,8,N,,,,1903,577,386,935,551,713,222,496,90,2186,1930,716,423,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16
2,CHA,EA,4,Y,W,W,L,1780,528,428,948,467,605,217,474,114,2055,1846,562,369,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6
3,CHA,EA,2,Y,L,,,1790,663,527,955,496,647,241,408,105,2241,1807,598,372,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9
4,CHA,EA,2,Y,L,,,1881,590,517,971,499,697,279,497,115,2217,1902,667,407,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12
5,CHA,EA,5,N,,,,1744,590,459,872,426,648,210,479,134,2092,1932,587,349,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12
6,CHA,EA,6,N,,,,1913,624,301,925,493,727,284,535,113,2095,1888,713,339,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16
7,CHA,EA,6,N,,,,2178,777,544,1094,527,734,315,574,155,2456,2149,791,465,1240,522,707,286,619,125,2571,11,23,34,7,10,4,13,6,14
7,CHI,EA,7,N,,,,2175,643,536,1037,509,674,277,527,125,2322,2147,736,536,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16
8,CHI,EA,6,N,,,,2277,723,544,1165,597,634,262,510,112,2525,2243,642,481,1225,584,683,242,566,138,2611,14,20,34,6,11,8,9,6,14
9,CHI,EA,5,N,,,,2100,812,341,1127,548,639,269,525,149,2472,2203,655,508,1160,531,681,255,522,124,2510,12,22,34,8,9,4,13,10,10
10,CHI,EA,5,N,,,,2136,693,471,1083,532,605,249,532,138,2573,2269,613,593,1156,610,636,273,489,121,2693,16,18,34,12,5,4,13,10,12
1,CLE,EA,2,Y,W,L,,1828,570,407,934,539,647,259,538,91,2185,1761,583,368,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8
2,CLE,EA,1,Y,L,,,1770,505,335,959,503,532,267,444,83,2004,1745,444,417,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6
3,CLE,EA,7,N,,,,1820,553,374,969,480,567,221,451,83,2071,1834,521,441,918,530,613,242,428,109,2140,10,22,32,4,12,6,10,7,14
4,CLE,EA,4,Y,L,,,1975,643,425,1069,517,639,226,466,86,2229,1927,607,355,1004,510,659,223,467,135,2210,17,17,34,11,6,6,11,13,11
4,CON,EA,3,Y,W,L,,2102,646,549,1095,520,663,270,434,111,2384,2104,673,536,1178,553,669,252,476,88,2409,18,16,34,10,7,8,9,11,13
5,CON,EA,1,Y,W,W,L,2051,590,467,1045,572,610,299,462,96,2335,1996,599,384,1063,565,627,239,492,113,2304,18,16,34,10,7,8,9,14,6
6,CON,EA,1,Y,W,W,W,2025,688,373,1110,573,624,236,452,130,2474,2100,599,400,1078,495,675,258,442,79,2244,26,8,34,14,3,12,5,13,7
7,CON,EA,1,Y,W,L,,2216,675,510,1268,630,530,252,514,153,2683,2357,500,508,1153,528,646,273,486,103,2417,26,8,34,14,3,12,5,15,5
8,CON,EA,3,Y,L,,,2327,615,572,1222,619,641,272,540,156,2675,2317,626,485,1179,581,633,246,524,85,2593,18,16,34,8,9,10,7,10,10
9,CON,EA,2,Y,L,,,2286,723,669,1239,607,629,211,487,97,2690,2284,638,496,1200,554,703,252,499,104,2541,21,13,34,13,4,8,9,13,7
10,CON,EA,6,N,,,,2381,692,639,1184,608,677,250,453,130,2651,2236,746,488,1274,525,684,248,549,125,2654,16,18,34,12,5,4,13,10,12
1,DET,EA,5,N,,,,1980,699,273,985,503,701,260,530,88,2331,1967,652,372,971,513,672,284,543,148,2426,14,18,32,8,8,6,10,10,11
2,DET,EA,7,N,,,,1914,542,405,945,469,602,225,498,82,2103,1837,583,340,981,438,591,262,483,109,2269,10,22,32,6,10,4,12,7,14
3,DET,EA,8,N,,,,1919,651,364,1079,478,609,201,541,132,2114,1984,605,447,983,465,637,277,443,139,2266,9,23,32,7,9,2,14,6,15
4,DET,EA,1,Y,W,W,W,2004,882,323,1230,545,605,263,608,158,2553,2286,556,541,1064,504,774,309,497,129,2395,25,9,34,13,4,12,5,18,6
5,DET,EA,3,Y,L,,,2097,792,209,1170,564,648,277,513,148,2366,2098,609,533,1055,515,728,289,496,131,2381,17,17,34,8,9,9,8,11,9
6,DET,EA,4,Y,L,,,2060,774,238,1215,474,761,241,571,155,2247,1945,754,456,1018,473,744,272,520,136,2287,16,18,34,12,5,4,13,11,9
7,DET,EA,2,Y,W,W,W,2220,746,414,1286,572,711,213,537,137,2527,2165,702,561,1084,474,733,275,506,108,2384,23,11,34,14,3,9,8,14,6
8,DET,EA,1,Y,W,W,L,2261,785,442,1311,563,702,227,564,117,2697,2262,718,610,1089,546,767,276,529,117,2540,24,10,34,12,5,12,5,14,6
9,DET,EA,1,Y,W,W,W,2295,744,476,1248,604,724,278,496,118,2672,2151,740,616,1085,520,762,229,572,119,2522,22,12,34,14,3,8,9,16,4
10,DET,EA,3,Y,W,L,,2277,721,436,1226,575,766,261,546,97,2652,2201,813,611,1101,524,716,279,531,110,2644,18,16,34,11,6,7,10,11,11
1,HOU,WE,2,Y,W,W,W,1894,634,491,997,494,554,284,440,104,2475,1938,508,418,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4
2,HOU,WE,4,Y,L,,,1908,539,435,1058,426,509,251,436,95,2047,1883,504,456,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8
3,HOU,WE,2,Y,L,,,1778,585,332,1001,450,467,260,455,126,2072,1880,452,489,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5
4,HOU,WE,2,Y,L,,,1916,600,344,1030,465,490,231,450,129,2244,2030,448,500,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10
5,HOU,WE,6,N,,,,1933,615,358,1035,451,555,242,484,107,2177,2008,531,434,1055,539,655,258,471,129,2211,13,21,34,9,8,4,13,7,15
6,HOU,WE,3,Y,W,L,,1920,690,205,960,467,581,246,425,105,2309,1944,559,423,961,541,685,197,481,111,2263,19,15,34,11,6,8,9,11,11
7,HOU,WE,3,Y,L,,,2098,678,472,1125,532,617,252,566,84,2507,2232,615,496,1124,526,705,298,519,89,2449,18,16,34,12,5,6,11,11,9
8,HOU,WE,5,N,,,,2149,721,365,1144,558,655,289,633,109,2510,2190,719,581,1063,588,677,310,568,160,2628,13,21,34,7,10,6,11,10,12
9,HOU,WE,5,N,,,,2213,736,481,1179,556,728,295,599,120,2561,2186,781,580,1092,542,744,313,555,165,2606,17,17,34,13,4,4,13,10,10
1,IND,EA,7,N,,,,1838,569,521,932,501,642,271,518,126,2213,1868,669,358,954,528,612,267,476,75,2290,9,23,32,5,11,4,12,7,14
2,IND,EA,6,N,,,,1822,591,446,935,458,600,242,491,118,2153,1899,583,367,966,565,616,256,466,140,2249,10,22,32,7,9,3,13,7,14
3,IND,EA,4,Y,L,,,1825,580,543,948,447,559,268,438,100,2097,1817,503,464,932,507,647,226,470,145,2129,16,16,32,10,6,6,10,12,9
4,IND,EA,5,N,,,,2011,563,600,988,539,668,299,474,121,2337,1908,638,421,986,570,631,227,512,170,2321,16,18,34,11,6,5,12,12,12
5,IND,EA,6,N,,,,2011,580,481,1101,555,639,261,486,134,2198,1865,695,352,969,514,603,268,466,162,2245,15,19,34,10,7,5,12,8,12
6,IND,EA,2,Y,W,L,,1958,595,468,1012,493,668,336,477,95,2170,1798,642,367,990,435,644,234,558,113,2133,21,13,34,14,3,7,10,14,6
7,IND,EA,3,Y,L,,,2144,676,551,1094,501,606,354,528,93,2435,2043,559,444,1061,507,685,259,617,105,2316,21,13,34,12,5,9,8,12,8
8,IND,EA,2,Y,W,L,,2167,617,546,1153,511,646,308,589,136,2480,2192,608,483,1164,475,663,280,610,114,2370,21,13,34,12,5,9,8,12,8
9,IND,EA,4,Y,L,,,2179,656,662,1127,500,727,324,585,165,2473,2127,706,415,1171,477,659,294,608,130,2457,17,17,34,11,6,6,11,12,8
10,IND,EA,1,Y,W,W,L,2212,746,637,1122,527,692,373,531,117,2606,2118,692,483,1167,498,700,271,638,116,2501,22,12,34,14,3,8,9,17,5
1,LAS,WE,1,Y,W,L,,1956,693,452,1091,586,705,271,466,156,2417,1963,692,413,978,445,650,243,485,105,2169,28,4,32,15,1,13,3,17,4
2,LAS,WE,1,Y,W,W,W,2031,594,436,1105,596,616,281,438,138,2441,1985,547,603,921,538,591,234,453,114,2166,28,4,32,16,0,12,4,19,2
3,LAS,WE,1,Y,W,W,W,2002,645,515,1143,583,664,257,517,161,2452,2040,649,521,959,508,623,275,453,111,2235,25,7,32,12,4,13,3,17,4
4,LAS,WE,1,Y,W,W,L,2140,678,528,1149,587,682,242,470,161,2499,2147,702,540,1105,572,654,241,468,127,2432,24,10,34,11,6,13,4,17,7
5,LAS,WE,1,Y,L,,,2069,722,414,1121,626,731,262,529,148,2495,2095,761,511,1066,532,704,288,523,114,2361,25,9,34,15,2,10,7,16,6
6,LAS,WE,4,Y,L,,,2042,630,387,1004,551,737,264,492,136,2326,1955,709,519,1041,567,654,247,544,115,2345,17,17,34,11,6,6,11,12,10
7,LAS,WE,1,Y,W,L,,2195,726,377,1202,610,679,296,534,129,2575,2184,721,570,1082,565,636,284,556,128,2476,25,9,34,15,2,10,7,15,5
8,LAS,WE,7,N,,,,2305,627,456,1139,554,732,245,571,107,2533,2212,800,537,1179,616,605,290,550,137,2708,10,24,34,5,12,5,12,6,16
9,LAS,WE,3,Y,W,L,,2248,717,485,1282,613,713,251,608,216,2598,2310,751,547,1127,513,717,303,523,141,2523,20,14,34,12,5,8,9,12,8
10,LAS,WE,3,Y,W,L,,2264,550,512,1248,587,583,217,568,166,2533,2262,623,636,1050,516,622,300,463,115,2498,18,16,34,11,6,7,10,11,9
1,MIA,EA,6,N,,,,1774,664,310,960,415,707,272,524,88,1831,1676,627,315,923,416,661,247,528,118,2001,13,19,32,9,7,4,12,9,12
2,MIA,EA,3,Y,L,,,1826,469,295,943,467,602,300,448,153,1957,1725,588,395,968,388,538,259,512,87,1898,20,12,32,10,6,10,6,14,7
3,MIA,EA,6,N,,,,1856,529,389,869,476,643,274,435,96,2046,1722,614,382,971,446,588,222,515,104,2088,15,17,32,9,7,6,10,11,10
1,MIN,WE,6,N,,,,1831,592,571,870,495,690,237,497,63,2193,1758,702,481,977,472,707,275,547,130,2188,15,17,32,8,8,7,9,5,16
2,MIN,WE,6,N,,,,1810,727,552,1001,437,695,210,507,127,2077,1927,624,472,1016,511,719,259,470,126,2156,12,20,32,6,10,6,10,9,12
3,MIN,WE,8,N,,,,1775,578,500,959,466,617,226,529,102,2003,1807,613,389,914,495,618,273,465,117,2104,10,22,32,7,9,3,13,6,15
4,MIN,WE,4,Y,L,,,1978,624,524,1079,580,634,242,558,101,2380,2067,633,446,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10
5,MIN,WE,3,Y,L,,,1900,640,542,1056,526,660,257,613,139,2165,1972,669,330,1036,508,676,333,502,133,2190,18,16,34,11,6,7,10,12,10
6,MIN,WE,6,N,,,,1946,601,492,1025,531,624,258,536,127,2211,2019,592,376,1055,537,665,275,487,144,2288,14,20,34,11,6,3,14,9,13
7,MIN,WE,7,N,,,,2211,681,419,1144,491,654,193,530,113,2523,2314,719,542,1204,625,633,308,438,124,2735,10,24,34,8,9,2,15,6,14
8,MIN,WE,6,N,,,,2355,674,496,1182,596,713,238,561,95,2636,2195,785,461,1118,565,645,279,529,147,2752,10,24,34,7,10,3,14,8,14
9,MIN,WE,7,N,,,,2303,864,413,1145,557,751,309,472,131,2767,2220,809,486,1212,587,748,248,579,140,2721,16,18,34,9,8,7,10,8,12
10,MIN,WE,5,N,,,,2257,766,695,1087,509,693,301,513,128,2731,2260,711,510,1165,589,694,250,543,140,2827,14,20,34,9,8,5,12,7,13
1,NYL,EA,1,Y,W,W,L,1815,567,396,940,477,617,246,474,102,2148,1822,590,420,967,462,645,223,479,94,2035,20,12,32,12,4,8,8,14,7
2,NYL,EA,2,Y,W,L,,1828,500,421,915,553,616,265,437,82,2162,1759,640,394,983,430,600,223,496,76,2082,21,11,32,13,3,8,8,13,8
3,NYL,EA,1,Y,W,W,L,1740,567,400,870,496,638,261,458,100,2089,1733,645,434,961,410,597,228,478,88,2015,18,14,32,10,6,8,8,11,10
4,NYL,EA,6,N,,,,1923,537,500,957,527,587,262,470,128,2243,1959,581,467,1062,506,614,269,480,96,2256,16,18,34,11,6,5,12,11,13
5,NYL,EA,2,Y,W,L,,1932,531,617,1004,539,587,209,506,124,2252,2096,579,416,1101,517,589,288,430,123,2297,18,16,34,11,6,7,10,10,10
6,NYL,EA,3,Y,L,,,1860,552,605,974,498,613,214,462,112,2316,2012,608,398,1030,473,590,275,411,86,2285,18,16,34,10,7,8,9,9,11
7,NYL,EA,5,N,,,,2069,650,645,1021,475,674,252,576,112,2372,2153,722,461,1173,508,668,270,485,134,2656,11,23,34,7,10,4,13,7,13
8,NYL,EA,4,Y,L,,,2087,580,653,1075,500,618,289,612,109,2413,2223,619,589,1215,509,608,321,562,115,2501,16,18,34,10,7,6,11,10,10
9,NYL,EA,3,Y,W,L,,2168,653,706,1105,551,655,290,547,117,2573,2163,674,485,1175,496,625,285,559,109,2538,19,15,34,11,6,8,9,11,9
10,NYL,EA,7,N,,,,2168,582,710,1082,526,637,276,543,121,2512,2157,673,554,1202,482,590,269,548,124,2535,13,21,34,8,9,5,12,9,13
1,ORL,EA,3,Y,L,,,1911,546,424,925,473,583,255,486,130,2208,1964,495,450,1017,536,637,264,500,108,2233,16,16,32,11,5,5,11,13,8
2,ORL,EA,5,N,,,,1914,587,532,970,452,643,320,532,125,2140,1831,605,438,975,534,600,298,546,114,2205,13,19,32,10,6,3,13,9,12
3,ORL,EA,5,N,,,,1914,646,461,915,446,669,295,456,113,2254,1862,668,422,1046,519,637,251,541,108,2255,16,16,32,10,6,6,10,13,8
1,PHO,WE,4,Y,L,,,1800,661,394,894,465,630,285,429,91,2243,1828,574,416,969,486,699,224,531,91,2102,20,12,32,11,5,9,7,11,10
2,PHO,WE,5,N,,,,1894,587,313,942,514,625,292,519,138,2064,1892,584,391,1031,524,603,283,517,127,2169,13,19,32,10,6,3,13,8,13
3,PHO,WE,7,N,,,,1889,538,328,918,427,623,267,501,94,2091,1870,608,388,1001,532,600,268,491,127,2291,11,21,32,10,6,1,15,7,14
4,PHO,WE,7,N,,,,2095,556,349,1000,461,664,310,479,111,2097,1867,626,371,1114,509,667,275,610,146,2270,8,26,34,6,11,2,15,5,19
5,PHO,WE,5,N,,,,1922,598,519,916,501,748,282,464,137,2300,1845,724,348,1020,456,660,226,536,137,2235,17,17,34,10,7,7,10,11,11
6,PHO,WE,5,N,,,,1994,693,539,1062,549,697,243,517,179,2361,1993,720,332,1024,470,672,265,483,112,2354,16,18,34,11,6,5,12,12,10
7,PHO,WE,5,N,,,,2434,684,722,1145,640,741,275,442,127,2960,2360,852,618,1283,578,669,231,537,126,2879,18,16,34,10,7,8,9,8,12
8,PHO,WE,1,Y,W,W,W,2419,754,802,1152,683,658,285,486,159,3025,2526,716,762,1390,628,684,244,595,109,2904,23,11,34,12,5,11,6,17,5
9,PHO,WE,6,N,,,,2485,773,701,1226,560,794,232,489,156,3010,2460,932,695,1298,650,717,234,500,129,3009,16,18,34,10,7,6,11,8,12
10,PHO,WE,1,Y,W,W,W,2454,752,665,1190,625,740,225,500,181,3156,2582,851,608,1285,607,671,260,460,143,3031,23,11,34,12,5,11,6,13,7
1,POR,WE,7,N,,,,1828,697,433,936,480,761,265,593,93,2155,1847,766,447,953,487,729,277,531,130,2303,10,22,32,6,10,4,12,4,17
2,POR,WE,7,N,,,,1891,612,519,996,451,633,244,500,106,2088,1944,656,410,1106,501,643,293,474,144,2202,11,21,32,6,10,5,11,5,16
3,POR,WE,5,N,,,,1951,564,391,948,492,623,239,493,120,2195,1885,647,348,1012,486,616,272,508,139,2227,16,16,32,9,7,7,9,8,13
1,SAC,WE,3,Y,L,,,1993,650,459,1038,567,571,332,458,157,2343,1918,544,418,951,503,600,226,524,116,2176,21,11,32,13,3,8,8,13,8
2,SAC,WE,2,Y,W,L,,1974,618,423,1097,558,588,276,494,158,2294,2003,578,400,1005,496,616,261,481,143,2139,20,12,32,12,4,8,8,13,8
3,SAC,WE,6,N,,,,1945,653,395,949,500,675,247,456,109,2166,1944,681,453,1075,493,633,233,496,128,2294,14,18,32,10,6,4,12,8,13
4,SAC,WE,3,Y,W,L,,2107,626,473,1067,568,641,297,461,122,2299,1991,597,467,1096,516,640,224,576,141,2216,19,15,34,12,5,7,10,13,11
5,SAC,WE,4,Y,W,L,,2072,604,365,1024,519,641,314,485,118,2312,1872,631,458,986,513,646,241,593,117,2241,18,16,34,10,7,8,9,12,10
6,SAC,WE,1,Y,W,W,W,1986,721,360,1043,527,684,304,500,108,2329,1823,653,376,967,463,723,235,622,132,2093,25,9,34,15,2,10,7,17,5
7,SAC,WE,2,Y,W,W,L,2190,741,461,1138,509,670,330,542,88,2537,2021,661,507,1019,507,687,244,633,143,2404,21,13,34,14,3,7,10,10,10
8,SAC,WE,3,Y,L,,,2214,745,429,1175,537,642,325,611,101,2527,2081,664,547,1026,542,689,274,649,141,2480,19,15,34,12,5,7,10,12,10
9,SAC,WE,4,Y,L,,,2159,816,438,1109,473,690,319,586,77,2545,2128,622,542,1075,581,759,267,624,206,2571,18,16,34,13,4,5,12,9,11
10,SAC,WE,6,N,,,,2194,744,389,1154,540,645,289,584,98,2610,2221,586,604,1028,627,704,262,576,147,2690,12,22,34,7,10,5,12,6,14
4,SAS,WE,6,N,,,,2068,736,315,1145,428,728,187,513,167,2215,2176,745,482,1172,530,669,275,424,140,2427,12,22,34,9,8,3,14,10,14
5,SAS,WE,7,N,,,,1940,628,247,1003,493,628,272,513,106,2191,2003,564,469,1034,575,624,280,492,129,2364,9,25,34,6,11,3,14,6,16
6,SAS,WE,7,N,,,,1833,652,339,946,433,650,195,535,90,2141,2059,611,408,1055,563,685,283,429,148,2401,7,27,34,5,12,2,15,3,19
7,SAS,WE,6,N,,,,2255,672,556,1168,540,610,246,488,83,2523,2262,640,459,1237,560,641,254,480,129,2603,13,21,34,6,11,7,10,10,10
8,SAS,WE,2,Y,W,L,,2176,577,566,1087,567,653,283,558,130,2517,2139,688,454,1137,516,619,257,583,137,2484,20,14,34,9,8,11,6,13,9
9,SAS,WE,1,Y,W,W,L,2080,694,539,1093,601,602,272,525,150,2546,2271,634,483,1206,500,666,278,528,109,2418,24,10,34,15,2,9,8,10,10
10,SAS,WE,4,Y,L,,,2190,626,739,1049,598,596,257,509,116,2615,2279,620,499,1188,529,643,268,502,120,2661,15,19,34,10,7,5,12,10,10
1,SEA,WE,8,N,,,,1740,561,364,793,390,648,255,525,93,1822,1721,654,334,1009,506,618,284,529,123,2171,6,26,32,4,12,2,14,4,17
2,SEA,WE,8,N,,,,1821,606,412,891,412,605,273,431,127,1921,1750,559,325,1052,492,588,228,519,127,2048,10,22,32,5,11,5,11,6,15
3,SEA,WE,4,Y,L,,,1948,543,506,995,514,623,282,477,151,2188,1818,587,342,969,488,563,254,531,125,2103,17,15,32,10,6,7,9,10,11
4,SEA,WE,5,N,,,,2045,567,500,1074,548,644,232,465,138,2388,2039,591,437,1041,456,570,245,459,104,2274,18,16,34,13,4,5,12,11,13
5,SEA,WE,2,Y,W,W,W,2025,676,439,1059,552,665,302,499,131,2437,1989,592,391,982,507,678,252,527,137,2264,20,14,34,13,4,7,10,13,9
6,SEA,WE,2,Y,L,,,2066,688,429,1099,520,657,201,516,158,2498,2163,646,419,1020,568,691,267,438,154,2407,20,14,34,14,3,6,11,13,9
7,SEA,WE,4,Y,L,,,2124,712,475,1148,514,682,232,570,127,2644,2218,707,484,1031,520,683,297,485,115,2575,18,16,34,9,8,9,8,10,10
8,SEA,WE,4,Y,L,,,2210,715,639,1164,533,620,242,533,151,2734,2321,586,528,1094,591,642,272,495,112,2647,17,17,34,12,5,5,12,11,11
9,SEA,WE,2,Y,L,,,2112,728,453,1162,530,684,269,526,140,2493,2164,680,539,1092,498,674,263,515,115,2406,22,12,34,16,1,6,11,13,7
10,SEA,WE,2,Y,L,,,2116,707,486,1104,536,710,276,555,150,2544,2150,671,585,1078,517,672,275,555,131,2476,20,14,34,13,4,7,10,13,7
1,UTA,WE,5,N,,,,1896,790,262,1080,522,698,214,544,157,2413,1964,721,448,911,503,702,301,437,112,2407,18,14,32,12,4,6,10,13,8
2,UTA,WE,3,Y,L,,,1849,675,244,1070,524,622,202,493,156,2207,1976,660,429,974,478,645,275,390,148,2192,19,13,32,9,7,10,6,11,10
3,UTA,WE,3,Y,W,,,1911,844,247,1068,478,665,228,522,178,2418,2067,688,377,1006,489,724,260,444,149,2344,20,12,32,12,4,8,8,12,9
1,WAS,EA,4,Y,L,,,1813,578,335,946,521,597,245,506,126,2176,1875,555,397,911,513,595,261,456,102,2221,14,18,32,7,9,7,9,13,8
2,WAS,EA,8,N,,,,1915,504,418,1055,424,537,257,495,127,1928,1945,467,408,1068,487,543,261,454,103,2075,10,22,32,8,8,2,14,4,17
3,WAS,EA,3,Y,W,,,1910,478,443,1038,516,583,221,455,94,2135,1903,538,446,989,442,570,237,441,101,2116,17,15,32,9,7,8,8,12,9
4,WAS,EA,7,N,,,,2191,507,505,1085,568,676,213,462,99,2330,2033,691,482,1115,591,565,251,468,119,2498,9,25,34,3,14,6,11,7,17
5,WAS,EA,4,Y,L,,,2088,661,283,1063,467,652,255,424,128,2325,2013,686,425,1106,534,627,237,492,111,2384,17,17,34,11,6,6,11,9,11
6,WAS,EA,5,N,,,,1968,546,510,943,517,697,260,435,76,2263,1872,648,433,1024,545,638,205,504,108,2305,16,18,34,10,7,6,11,9,11
7,WAS,EA,4,Y,L,,,2199,715,522,1100,576,784,306,541,113,2747,2102,851,553,1041,583,687,252,573,89,2657,18,16,34,13,4,5,12,12,8
8,WAS,EA,5,N,,,,2170,839,528,1118,472,763,282,571,133,2585,2216,801,520,1208,549,762,256,579,103,2639,16,18,34,8,9,8,9,8,12
9,WAS,EA,6,N,,,,2131,659,460,1132,483,757,241,637,93,2368,2096,760,528,1093,542,708,314,530,146,2601,10,24,34,6,11,4,13,6,14
10,WAS,EA,4,Y,L,,,2205,827,426,1191,453,725,314,607,118,2585,2184,755,478,1111,524,778,315,576,156,2622,16,18,34,11,6,5,12,10,12
